DATE_TIME,current_contract,next_contract,carry_contract
2021-11-02 23:00:00,20211200,20220100,20220100
2021-12-02 23:00:00,20220100,20220200,20220200
2022-01-03 23:00:00,20220200,20220300,20220300
2022-02-03 23:00:00,20220300,20220400,20220400
2022-03-02 23:00:00,20220400,20220500,20220500
2022-04-01 23:00:00,20220500,20220600,20220600
2022-05-04 23:00:00,20220600,20220700,20220700
2022-06-01 23:00:00,20220700,20220800,20220800
2022-07-04 23:00:00,20220800,20220900,20220900
2022-08-02 23:00:00,20220900,20221000,20221000
2022-09-01 23:00:00,20221000,20221100,20221100
2022-10-03 23:00:00,20221100,20221200,20221200
2022-10-12 23:00:01,20221200,20230100,20230100
2022-11-14 09:00:01,20230100,20230200,20230200
2022-11-29 09:00:01,20230200,20230300,20230300
2023-01-03 09:00:01,20230300,20230400,20230400
2023-02-07 05:00:01,20230400,20230500,20230500
2023-03-13 08:00:01,20230500,20230600,20230600
2023-04-27 04:00:01,20230600,20230700,20230700
2023-05-23 10:00:01,20230700,20230800,20230800
2023-06-21 05:00:01,20230800,20230900,20230900
2023-06-28 23:00:01,20230900,20231000,20231000
2023-08-11 23:00:01,20231000,20231100,20231100
2023-09-20 05:00:02,20231100,20231200,20231200
2023-10-10 05:00:01,20231200,20240100,20240100
2023-11-10 05:00:02,20240100,20240200,20240200
2023-11-29 04:00:01,20240200,20240300,20240300
2024-01-08 04:00:01,20240300,20240400,20240400
2024-02-14 05:00:01,20240400,20240500,20240500
2024-03-20 09:00:01,20240500,20240600,20240600
2024-04-30 05:00:00,20240600,20240700,20240700
2024-05-31 05:00:00,20240700,20240800,20240800
2024-07-01 00:00:00,20240800,20240900,20240900
2024-08-01 00:00:00,20240900,20241000,20241000
2024-08-30 23:00:00,20241000,20241100,20241100
2024-10-01 23:00:00,20241100,20241200,20241200
2024-10-30 23:00:00,20241200,20250100,20250100
2024-12-02 23:00:00,20250100,20250200,20250200
2025-01-01 23:55:00,20250200,20250300,20250300
2025-01-30 23:55:00,20250300,20250400,20250400
2025-02-28 01:00:00,20250400,20250500,20250500
2025-04-01 00:55:00,20250500,20250600,20250600
2025-05-01 23:55:00,20250600,20250700,20250700
2025-05-30 01:00:00,20250700,20250800,20250800
2025-07-01 01:00:00,20250800,20250900,20250900
2025-08-01 01:00:00,20250900,20251000,20251000
2025-08-15 01:00:00,20251000,20251100,20251100
