DATE_TIME,current_contract,next_contract,carry_contract
2024-03-20 20:00:01,20240300,20240400,20240400
2024-04-23 00:00:00,20240400,20240500,20240500
2024-05-23 00:00:00,20240500,20240600,20240600
2024-06-23 22:00:00,20240600,20240700,20240700
2024-07-23 00:00:00,20240700,20240800,20240800
2024-08-23 23:00:00,20240800,20240900,20240900
2024-09-23 23:00:00,20240900,20241000,20241000
2024-10-23 23:00:00,20241000,20241100,20241100
2024-11-22 23:00:00,20241100,20241200,20241200
2024-12-23 14:30:00,20241200,20250100,20250100
2025-01-23 14:30:00,20250100,20250200,20250200
2025-02-24 14:30:00,20250200,20250300,20250300
2025-03-24 13:30:00,20250300,20250400,20250400
2025-04-23 14:30:00,20250400,20250500,20250500
2025-05-23 13:30:00,20250500,20250600,20250600
2025-06-23 13:30:00,20250600,20250700,20250700
2025-06-27 23:00:00,20250700,20250800,20250800
