DATE_TIME,current_contract,next_contract,carry_contract
2024-03-04 10:00:01,20240400,20240500,20240300
2024-04-12 05:00:00,20240500,20240600,20240400
2024-05-14 05:00:00,20240600,20240700,20240500
2024-06-13 05:00:00,20240700,20240800,20240600
2024-07-15 05:00:00,20240800,20240900,20240700
2024-08-14 05:00:00,20240900,20241000,20240800
2024-09-13 23:00:00,20241000,20241100,20240900
2024-10-14 23:00:00,20241100,20241200,20241000
2024-11-13 23:00:00,20241200,20250100,20241100
2024-12-13 23:00:00,20250100,20250200,20241200
2025-01-14 10:00:00,20250200,20250300,20250100
2025-02-11 23:00:00,20250300,20250400,20250200
2025-03-14 23:00:00,20250400,20250500,20250300
2025-04-14 23:00:00,20250500,20250600,20250400
2025-05-14 23:00:00,20250600,20250700,20250500
2025-06-13 15:00:00,20250700,20250800,20250600
2025-07-11 23:00:00,20250800,20250900,20250700
2025-07-14 23:00:00,20250900,20251000,20250800
