DATE_TIME,current_contract,next_contract,carry_contract
2023-06-30 08:00:00,20230800,20230900,20230900
2023-07-19 09:00:00,20230900,20231000,20231000
2023-08-11 23:00:01,20231000,20231100,20231100
2023-09-20 15:00:02,20231100,20231200,20231200
2023-10-20 15:00:02,20231200,20240100,20240100
2023-11-10 15:00:02,20240100,20240200,20240200
2023-12-12 15:00:01,20240200,20240300,20240300
2024-01-19 15:00:01,20240300,20240400,20240400
2024-02-23 15:00:01,20240400,20240500,20240500
2024-03-20 15:00:01,20240500,20240600,20240600
2024-05-01 05:00:00,20240600,20240700,20240700
2024-05-31 05:00:00,20240700,20240800,20240800
2024-07-01 05:00:00,20240800,20240900,20240900
2024-08-01 05:00:00,20240900,20241000,20241000
2024-08-30 23:00:00,20241000,20241100,20241100
2024-10-01 23:00:00,20241100,20241200,20241200
2024-10-31 23:00:00,20241200,20250100,20250100
2024-12-02 23:00:00,20250100,20250200,20250200
2024-12-31 13:00:00,20250200,20250300,20250300
2025-01-29 13:00:00,20250300,20250400,20250400
2025-02-28 08:00:00,20250400,20250500,20250500
2025-03-31 09:00:00,20250500,20250600,20250600
2025-05-01 10:00:00,20250600,20250700,20250700
2025-05-30 06:00:00,20250700,20250800,20250800
2025-06-27 09:00:00,20250800,20250900,20250900
