DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-12-13 23:00:00,149.71,20220600,149.96,20220300,149.71,20220600
2021-12-14 23:00:00,150.01,20220600,150.27,20220300,150.01,20220600
2021-12-15 23:00:00,150.58,20220600,150.85,20220300,150.58,20220600
2021-12-16 23:00:00,150.74,20220600,151.04,20220300,150.74,20220600
2021-12-17 23:00:00,150.21,20220600,150.51,20220300,150.21,20220600
2021-12-20 23:00:00,149.68,20220600,149.99,20220300,149.68,20220600
2021-12-21 23:00:00,150.9,20220600,151.21,20220300,150.9,20220600
2021-12-22 23:00:00,152.05,20220600,152.37,20220300,152.05,20220600
2021-12-23 23:00:00,153.06,20220600,153.39,20220300,153.06,20220600
2021-12-27 23:00:00,154.04,20220600,154.35,20220300,154.04,20220600
2021-12-28 23:00:00,153.71,20220600,154.03,20220300,153.71,20220600
2021-12-29 23:00:00,154.62,20220600,154.95,20220300,154.62,20220600
2021-12-30 23:00:00,154.99,20220600,155.32,20220300,154.99,20220600
2021-12-31 23:00:00,155.24,20220600,155.56,20220300,155.24,20220600
2022-01-03 23:00:00,155.06,20220600,155.39,20220300,155.06,20220600
2022-01-04 23:00:00,156.72,20220600,157.05,20220300,156.72,20220600
2022-01-05 23:00:00,157.08,20220600,157.4,20220300,157.08,20220600
2022-01-06 23:00:00,156.38,20220600,156.7,20220300,156.38,20220600
2022-01-07 23:00:00,156.69,20220600,157.0,20220300,156.69,20220600
2022-01-10 23:00:00,155.9,20220600,156.22,20220300,155.9,20220600
2022-01-11 23:00:00,156.77,20220600,157.09,20220300,156.77,20220600
2022-01-12 23:00:00,156.43,20220600,156.73,20220300,156.43,20220600
2022-01-13 23:00:00,156.08,20220600,156.39,20220300,156.08,20220600
2022-01-14 23:00:00,155.69,20220600,156.0,20220300,155.69,20220600
2022-01-17 23:00:00,155.69,20220600,156.29,20220300,155.69,20220600
2022-01-18 23:00:00,155.42,20220600,155.73,20220300,155.42,20220600
2022-01-19 23:00:00,155.23,20220600,155.56,20220300,155.23,20220600
2022-01-20 23:00:00,155.01,20220600,155.33,20220300,155.01,20220600
2022-01-21 23:00:00,153.65,20220600,153.96,20220300,153.65,20220600
2022-01-24 23:00:00,152.98,20220600,153.29,20220300,152.98,20220600
2022-01-25 23:00:00,153.58,20220600,153.89,20220300,153.58,20220600
2022-01-26 23:00:00,153.82,20220600,154.14,20220300,153.82,20220600
2022-01-27 23:00:00,153.76,20220600,154.1,20220300,153.76,20220600
2022-01-28 23:00:00,153.79,20220600,154.12,20220300,153.79,20220600
2022-01-31 23:00:00,154.33,20220600,154.67,20220300,154.33,20220600
2022-02-01 23:00:00,154.62,20220600,154.96,20220300,154.62,20220600
2022-02-02 23:00:00,154.95,20220600,155.28,20220300,154.95,20220600
2022-02-03 23:00:00,155.7,20220600,156.1,20220300,155.7,20220600
2022-02-04 23:00:00,155.4,20220600,155.84,20220300,155.4,20220600
2022-02-07 23:00:00,155.28,20220600,155.71,20220300,155.28,20220600
2022-02-08 23:00:00,155.95,20220600,156.39,20220300,155.95,20220600
2022-02-09 23:00:00,155.8,20220600,156.23,20220300,155.8,20220600
2022-02-10 23:00:00,156.78,20220600,157.26,20220300,156.78,20220600
2022-02-11 23:00:00,155.61,20220600,156.08,20220300,155.61,20220600
2022-02-14 23:00:00,155.83,20220600,156.3,20220300,155.83,20220600
2022-02-15 23:00:00,155.97,20220600,156.44,20220300,155.97,20220600
2022-02-16 23:00:00,156.44,20220600,156.88,20220300,156.44,20220600
2022-02-17 23:00:00,156.0,20220600,156.43,20220300,156.0,20220600
2022-02-18 23:00:00,156.06,20220600,156.5,20220300,156.06,20220600
