DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-06 06:00:00,,39151.0,39151.0,20240600,20240900,20240900
2024-03-06 08:00:00,,39399.0,39399.0,20240600,20240900,20240900
2024-03-06 23:00:00,39169.0,,,20240600,20240900,20240900
2024-03-07 06:00:00,,39511.0,39511.0,20240600,20240900,20240900
2024-03-07 09:00:00,,39374.0,39374.0,20240600,20240900,20240900
2024-03-07 23:00:00,39260.0,,,20240600,20240900,20240900
2024-03-08 06:00:00,,39460.0,39460.0,20240600,20240900,20240900
2024-03-08 23:00:00,39222.0,,,20240600,20240900,20240900
2024-03-11 05:00:00,,39508.0,39508.0,20240600,20240900,20240900
2024-03-11 08:00:00,,39333.0,39333.0,20240600,20240900,20240900
2024-03-11 14:00:00,,39335.0,39335.0,20240600,20240900,20240900
2024-03-11 23:00:00,39249.0,,,20240600,20240900,20240900
2024-03-12 05:00:00,,39753.0,39753.0,20240600,20240900,20240900
2024-03-12 14:00:00,,39823.0,39823.0,20240600,20240900,20240900
2024-03-12 22:00:00,,39744.0,39744.0,20240600,20240900,20240900
2024-03-12 23:00:00,39462.0,39816.0,39816.0,20240600,20240900,20240900
2024-03-13 05:00:00,,39793.0,39793.0,20240600,20240900,20240900
2024-03-13 07:00:00,,39755.0,39755.0,20240600,20240900,20240900
2024-03-13 13:00:00,,39830.0,39830.0,20240600,20240900,20240900
2024-03-13 23:00:00,39554.0,,,20240600,20240900,20240900
2024-03-14 05:00:00,,39652.0,39652.0,20240600,20240900,20240900
2024-03-14 08:00:00,,39949.0,39949.0,20240600,20240900,20240900
2024-03-14 11:00:00,,39995.0,39995.0,20240600,20240900,20240900
2024-03-14 13:00:00,,39823.0,39823.0,20240600,20240900,20240900
2024-03-14 14:00:00,,39802.0,39802.0,20240600,20240900,20240900
2024-03-14 17:00:00,,39596.0,39596.0,20240600,20240900,20240900
2024-03-14 23:00:00,39352.0,,,20240600,20240900,20240900
2024-03-15 05:00:00,,39474.0,39474.0,20240600,20240900,20240900
2024-03-15 13:00:00,,39546.0,39546.0,20240600,20240900,20240900
2024-03-15 17:00:00,,39480.0,39480.0,20240600,20240900,20240900
2024-03-15 23:00:00,39148.0,,,20240600,20240900,20240900
2024-03-18 05:00:00,,39596.0,39596.0,20240600,20240900,20240900
2024-03-18 14:00:00,,39642.0,39642.0,20240600,20240900,20240900
2024-03-18 15:00:00,,39673.0,39673.0,20240600,20240900,20240900
2024-03-18 16:00:00,,39648.0,39648.0,20240600,20240900,20240900
2024-03-18 18:00:00,,39663.0,39663.0,20240600,20240900,20240900
2024-03-18 23:00:00,39226.0,,,20240600,20240900,20240900
2024-03-19 05:00:00,,39906.0,39906.0,20240600,20240900,20240900
2024-03-19 16:00:00,,39814.0,39814.0,20240600,20240900,20240900
2024-03-19 17:00:00,,39855.0,39855.0,20240600,20240900,20240900
2024-03-19 18:00:00,,39818.0,39818.0,20240600,20240900,20240900
2024-03-19 19:00:00,,39817.0,39817.0,20240600,20240900,20240900
2024-03-19 23:00:00,39536.0,,,20240600,20240900,20240900
2024-03-20 05:00:00,,40301.0,40301.0,20240600,20240900,20240900
2024-03-20 15:00:00,,39945.0,39945.0,20240600,20240900,20240900
2024-03-20 18:00:00,,40161.0,40161.0,20240600,20240900,20240900
2024-03-20 19:00:00,,40268.0,40268.0,20240600,20240900,20240900
2024-03-20 20:00:00,,40335.0,40335.0,20240600,20240900,20240900
2024-03-20 23:00:00,39970.0,40377.0,40377.0,20240600,20240900,20240900
2024-03-21 00:00:00,,40363.0,40363.0,20240600,20240900,20240900
2024-03-21 01:00:00,,40394.0,40394.0,20240600,20240900,20240900
2024-03-21 05:00:00,,40578.0,40578.0,20240600,20240900,20240900
2024-03-21 07:00:00,,40435.0,40435.0,20240600,20240900,20240900
2024-03-21 11:00:00,,40394.0,40394.0,20240600,20240900,20240900
2024-03-21 13:00:00,,40590.0,40590.0,20240600,20240900,20240900
2024-03-21 14:00:00,,40673.0,40673.0,20240600,20240900,20240900
2024-03-21 15:00:00,,40636.0,40636.0,20240600,20240900,20240900
2024-03-21 17:00:00,,40620.0,40620.0,20240600,20240900,20240900
2024-03-21 20:00:00,,40625.0,40625.0,20240600,20240900,20240900
2024-03-21 23:00:00,40260.0,,,20240600,20240900,20240900
2024-03-22 00:00:00,,40625.0,40625.0,20240600,20240900,20240900
2024-03-22 05:00:00,,40238.0,40238.0,20240600,20240900,20240900
2024-03-22 09:00:00,,40605.0,40605.0,20240600,20240900,20240900
2024-03-22 10:00:00,,40617.0,40617.0,20240600,20240900,20240900
2024-03-22 13:00:00,,40500.0,40500.0,20240600,20240900,20240900
2024-03-22 14:00:00,,40463.0,40463.0,20240600,20240900,20240900
2024-03-22 15:00:00,,40405.0,40405.0,20240600,20240900,20240900
2024-03-22 18:00:00,,40350.0,40350.0,20240600,20240900,20240900
2024-03-22 19:00:00,,40247.0,40247.0,20240600,20240900,20240900
2024-03-22 23:00:00,39824.0,,,20240600,20240900,20240900
2024-03-24 22:00:00,,40198.0,40198.0,20240600,20240900,20240900
2024-03-25 05:00:00,,40070.0,40070.0,20240600,20240900,20240900
2024-03-25 06:00:00,,40154.0,40154.0,20240600,20240900,20240900
2024-03-25 11:00:00,,40155.0,40155.0,20240600,20240900,20240900
2024-03-25 13:00:00,,40139.0,40139.0,20240600,20240900,20240900
2024-03-25 14:00:00,,40100.0,40100.0,20240600,20240900,20240900
2024-03-25 15:00:00,,40089.0,40089.0,20240600,20240900,20240900
2024-03-25 17:00:00,,40070.0,40070.0,20240600,20240900,20240900
2024-03-25 19:00:00,,40060.0,40060.0,20240600,20240900,20240900
2024-03-25 20:00:00,,40069.0,40069.0,20240600,20240900,20240900
2024-03-25 23:00:00,39711.0,,,20240600,20240900,20240900
2024-03-26 05:00:00,,40058.0,40058.0,20240600,20240900,20240900
2024-03-26 08:00:00,,40106.0,40106.0,20240600,20240900,20240900
2024-03-26 13:00:00,,40095.0,40095.0,20240600,20240900,20240900
2024-03-26 16:00:00,,40172.0,40172.0,20240600,20240900,20240900
2024-03-26 19:00:00,,40110.0,40110.0,20240600,20240900,20240900
2024-03-26 23:00:00,39745.0,,,20240600,20240900,20240900
2024-03-27 05:00:00,,40206.0,40206.0,20240600,20240900,20240900
2024-03-27 10:00:00,,40210.0,40210.0,20240600,20240900,20240900
2024-03-27 14:00:00,,40289.0,40289.0,20240600,20240900,20240900
2024-03-27 16:00:00,,40311.0,40311.0,20240600,20240900,20240900
2024-03-27 17:00:00,,40309.0,40309.0,20240600,20240900,20240900
2024-03-27 19:00:00,,40542.0,40542.0,20240600,20240900,20240900
2024-03-27 23:00:00,40144.0,,,20240600,20240900,20240900
2024-03-28 05:00:00,,40558.0,40558.0,20240600,20240900,20240900
2024-03-28 08:00:00,,40520.0,40520.0,20240600,20240900,20240900
2024-03-28 12:00:00,,40540.0,40540.0,20240600,20240900,20240900
2024-03-28 13:00:00,,40524.0,40524.0,20240600,20240900,20240900
2024-03-28 14:00:00,,40490.0,40490.0,20240600,20240900,20240900
2024-03-28 15:00:00,,40531.0,40531.0,20240600,20240900,20240900
2024-03-28 17:00:00,,40538.0,40538.0,20240600,20240900,20240900
2024-03-28 18:00:00,,40540.0,40540.0,20240600,20240900,20240900
2024-03-28 19:00:00,,40598.0,40598.0,20240600,20240900,20240900
2024-03-28 20:00:00,,40559.0,40559.0,20240600,20240900,20240900
2024-03-28 23:00:00,40140.0,,,20240600,20240900,20240900
2024-03-31 22:00:00,,40624.0,40624.0,20240600,20240900,20240900
2024-03-31 23:00:00,,40702.0,40702.0,20240600,20240900,20240900
2024-04-01 00:00:00,,40700.0,40700.0,20240600,20240900,20240900
2024-04-01 04:00:00,,40701.0,40701.0,20240600,20240900,20240900
2024-04-01 05:00:00,,40282.0,40282.0,20240600,20240900,20240900
2024-04-01 12:00:00,,40581.0,40581.0,20240600,20240900,20240900
2024-04-01 13:00:00,,40406.0,40406.0,20240600,20240900,20240900
2024-04-01 14:00:00,,40313.0,40313.0,20240600,20240900,20240900
2024-04-01 15:00:00,,40233.0,40233.0,20240600,20240900,20240900
2024-04-01 16:00:00,,40220.0,40220.0,20240600,20240900,20240900
2024-04-01 17:00:00,,40222.0,40222.0,20240600,20240900,20240900
2024-04-01 19:00:00,,40241.0,40241.0,20240600,20240900,20240900
2024-04-01 20:00:00,,40150.0,40150.0,20240600,20240900,20240900
2024-04-01 23:00:00,39775.0,40138.0,40138.0,20240600,20240900,20240900
2024-04-02 01:00:00,,40173.0,40173.0,20240600,20240900,20240900
2024-04-02 02:00:00,,40151.0,40151.0,20240600,20240900,20240900
2024-04-02 05:00:00,,39898.0,39898.0,20240600,20240900,20240900
2024-04-02 07:00:00,,40146.0,40146.0,20240600,20240900,20240900
2024-04-02 11:00:00,,40091.0,40091.0,20240600,20240900,20240900
2024-04-02 12:00:00,,39985.0,39985.0,20240600,20240900,20240900
2024-04-02 13:00:00,,39819.0,39819.0,20240600,20240900,20240900
2024-04-02 14:00:00,,39867.0,39867.0,20240600,20240900,20240900
2024-04-02 15:00:00,,39790.0,39790.0,20240600,20240900,20240900
2024-04-02 16:00:00,,39780.0,39780.0,20240600,20240900,20240900
2024-04-02 17:00:00,,39797.0,39797.0,20240600,20240900,20240900
2024-04-02 19:00:00,,39895.0,39895.0,20240600,20240900,20240900
2024-04-02 23:00:00,39509.0,,,20240600,20240900,20240900
2024-04-03 01:00:00,,39840.0,39840.0,20240600,20240900,20240900
2024-04-03 05:00:00,,39873.0,39873.0,20240600,20240900,20240900
2024-04-03 08:00:00,,39863.0,39863.0,20240600,20240900,20240900
2024-04-03 09:00:00,,39881.0,39881.0,20240600,20240900,20240900
2024-04-03 12:00:00,,39866.0,39866.0,20240600,20240900,20240900
2024-04-03 13:00:00,,39851.0,39851.0,20240600,20240900,20240900
2024-04-03 14:00:00,,39999.0,39999.0,20240600,20240900,20240900
2024-04-03 16:00:00,,39956.0,39956.0,20240600,20240900,20240900
2024-04-03 18:00:00,,39887.0,39887.0,20240600,20240900,20240900
2024-04-03 19:00:00,,39859.0,39859.0,20240600,20240900,20240900
2024-04-03 23:00:00,39500.0,,,20240600,20240900,20240900
2024-04-04 05:00:00,,39305.0,39305.0,20240600,20240900,20240900
2024-04-04 10:00:00,,39973.0,39973.0,20240600,20240900,20240900
2024-04-04 12:00:00,,40078.0,40078.0,20240600,20240900,20240900
2024-04-04 13:00:00,,40065.0,40065.0,20240600,20240900,20240900
2024-04-04 15:00:00,,40036.0,40036.0,20240600,20240900,20240900
2024-04-04 16:00:00,,40070.0,40070.0,20240600,20240900,20240900
2024-04-04 17:00:00,,40020.0,40020.0,20240600,20240900,20240900
2024-04-04 18:00:00,,39447.0,39447.0,20240600,20240900,20240900
2024-04-04 19:00:00,,39311.0,39311.0,20240600,20240900,20240900
2024-04-04 20:00:00,,39278.0,39278.0,20240600,20240900,20240900
2024-04-04 22:00:00,,39355.0,39355.0,20240600,20240900,20240900
2024-04-04 23:00:00,38923.0,,,20240600,20240900,20240900
2024-04-05 00:00:00,,39313.0,39313.0,20240600,20240900,20240900
2024-04-05 02:00:00,,39285.0,39285.0,20240600,20240900,20240900
2024-04-05 05:00:00,,39612.0,39612.0,20240600,20240900,20240900
2024-04-05 12:00:00,,39374.0,39374.0,20240600,20240900,20240900
2024-04-05 13:00:00,,39422.0,39422.0,20240600,20240900,20240900
2024-04-05 14:00:00,,39500.0,39500.0,20240600,20240900,20240900
2024-04-05 15:00:00,,39688.0,39688.0,20240600,20240900,20240900
2024-04-05 16:00:00,,39688.0,39688.0,20240600,20240900,20240900
2024-04-05 18:00:00,,39631.0,39631.0,20240600,20240900,20240900
2024-04-05 20:00:00,,39620.0,39620.0,20240600,20240900,20240900
2024-04-05 23:00:00,39246.0,,,20240600,20240900,20240900
2024-04-08 04:00:00,,39598.0,39598.0,20240600,20240900,20240900
2024-04-08 05:00:00,,39597.0,39597.0,20240600,20240900,20240900
2024-04-08 06:00:00,,39584.0,39584.0,20240600,20240900,20240900
2024-04-08 07:00:00,,39627.0,39627.0,20240600,20240900,20240900
2024-04-08 09:00:00,,39581.0,39581.0,20240600,20240900,20240900
2024-04-08 10:00:00,,39584.0,39584.0,20240600,20240900,20240900
2024-04-08 11:00:00,,39603.0,39603.0,20240600,20240900,20240900
2024-04-08 12:00:00,,39660.0,39660.0,20240600,20240900,20240900
2024-04-08 13:00:00,,39700.0,39700.0,20240600,20240900,20240900
2024-04-08 14:00:00,,39681.0,39681.0,20240600,20240900,20240900
2024-04-08 16:00:00,,39567.0,39567.0,20240600,20240900,20240900
2024-04-08 23:00:00,39241.0,,,20240600,20240900,20240900
2024-04-09 05:00:00,,39589.0,39589.0,20240600,20240900,20240900
2024-04-09 07:00:00,,39590.0,39590.0,20240600,20240900,20240900
2024-04-09 11:00:00,,39617.0,39617.0,20240600,20240900,20240900
2024-04-09 13:00:00,,39651.0,39651.0,20240600,20240900,20240900
2024-04-09 14:00:00,,39309.0,39309.0,20240600,20240900,20240900
2024-04-09 15:00:00,,39385.0,39385.0,20240600,20240900,20240900
2024-04-09 16:00:00,,39431.0,39431.0,20240600,20240900,20240900
2024-04-09 17:00:00,,39455.0,39455.0,20240600,20240900,20240900
2024-04-09 19:00:00,,39583.0,39583.0,20240600,20240900,20240900
2024-04-09 20:00:00,,39613.0,39613.0,20240600,20240900,20240900
2024-04-09 23:00:00,39224.0,39608.0,39608.0,20240600,20240900,20240900
2024-04-10 05:00:00,,39152.0,39152.0,20240600,20240900,20240900
2024-04-10 12:00:00,,39126.0,39126.0,20240600,20240900,20240900
2024-04-10 13:00:00,,39067.0,39067.0,20240600,20240900,20240900
2024-04-10 14:00:00,,39247.0,39247.0,20240600,20240900,20240900
2024-04-10 15:00:00,,39077.0,39077.0,20240600,20240900,20240900
2024-04-10 16:00:00,,39070.0,39070.0,20240600,20240900,20240900
2024-04-10 17:00:00,,39020.0,39020.0,20240600,20240900,20240900
2024-04-10 18:00:00,,39081.0,39081.0,20240600,20240900,20240900
2024-04-10 19:00:00,,39180.0,39180.0,20240600,20240900,20240900
2024-04-10 22:00:00,,39085.0,39085.0,20240600,20240900,20240900
2024-04-10 23:00:00,38725.0,,,20240600,20240900,20240900
2024-04-11 05:00:00,,39122.0,39122.0,20240600,20240900,20240900
2024-04-11 06:00:00,,39125.0,39125.0,20240600,20240900,20240900
2024-04-11 10:00:00,,39051.0,39051.0,20240600,20240900,20240900
2024-04-11 11:00:00,,38972.0,38972.0,20240600,20240900,20240900
2024-04-11 12:00:00,,39160.0,39160.0,20240600,20240900,20240900
2024-04-11 13:00:00,,39060.0,39060.0,20240600,20240900,20240900
2024-04-11 14:00:00,,38938.0,38938.0,20240600,20240900,20240900
2024-04-11 15:00:00,,39014.0,39014.0,20240600,20240900,20240900
2024-04-11 16:00:00,,39024.0,39024.0,20240600,20240900,20240900
2024-04-11 17:00:00,,39138.0,39138.0,20240600,20240900,20240900
2024-04-11 18:00:00,,39239.0,39239.0,20240600,20240900,20240900
2024-04-11 19:00:00,,39162.0,39162.0,20240600,20240900,20240900
2024-04-11 20:00:00,,39120.0,39120.0,20240600,20240900,20240900
2024-04-11 23:00:00,38753.0,39146.0,39146.0,20240600,20240900,20240900
2024-04-12 03:00:00,,39150.0,39150.0,20240600,20240900,20240900
2024-04-12 05:00:00,,38625.0,38625.0,20240600,20240900,20240900
2024-04-12 07:00:00,,39213.0,39213.0,20240600,20240900,20240900
2024-04-12 08:00:00,,39209.0,39209.0,20240600,20240900,20240900
2024-04-12 10:00:00,,39070.0,39070.0,20240600,20240900,20240900
2024-04-12 11:00:00,,39082.0,39082.0,20240600,20240900,20240900
2024-04-12 12:00:00,,38970.0,38970.0,20240600,20240900,20240900
2024-04-12 13:00:00,,38867.0,38867.0,20240600,20240900,20240900
2024-04-12 14:00:00,,38753.0,38753.0,20240600,20240900,20240900
2024-04-12 15:00:00,,38805.0,38805.0,20240600,20240900,20240900
2024-04-12 16:00:00,,38642.0,38642.0,20240600,20240900,20240900
2024-04-12 17:00:00,,38615.0,38615.0,20240600,20240900,20240900
2024-04-12 18:00:00,,38574.0,38574.0,20240600,20240900,20240900
2024-04-12 19:00:00,,38562.0,38562.0,20240600,20240900,20240900
2024-04-12 20:00:00,,38635.0,38635.0,20240600,20240900,20240900
2024-04-12 23:00:00,38227.0,,,20240600,20240900,20240900
2024-04-14 22:00:00,,38748.0,38748.0,20240600,20240900,20240900
2024-04-14 23:00:00,,38720.0,38720.0,20240600,20240900,20240900
2024-04-15 00:00:00,,38692.0,38692.0,20240600,20240900,20240900
2024-04-15 01:00:00,,38691.0,38691.0,20240600,20240900,20240900
2024-04-15 02:00:00,,38695.0,38695.0,20240600,20240900,20240900
2024-04-15 04:00:00,,38729.0,38729.0,20240600,20240900,20240900
2024-04-15 05:00:00,,38385.0,38385.0,20240600,20240900,20240900
2024-04-15 07:00:00,,38750.0,38750.0,20240600,20240900,20240900
2024-04-15 08:00:00,,38750.0,38750.0,20240600,20240900,20240900
2024-04-15 09:00:00,,38720.0,38720.0,20240600,20240900,20240900
2024-04-15 11:00:00,,38824.0,38824.0,20240600,20240900,20240900
2024-04-15 12:00:00,,38903.0,38903.0,20240600,20240900,20240900
2024-04-15 13:00:00,,38967.0,38967.0,20240600,20240900,20240900
2024-04-15 14:00:00,,38735.0,38735.0,20240600,20240900,20240900
2024-04-15 15:00:00,,38777.0,38777.0,20240600,20240900,20240900
2024-04-15 16:00:00,,38625.0,38625.0,20240600,20240900,20240900
2024-04-15 17:00:00,,38441.0,38441.0,20240600,20240900,20240900
2024-04-15 18:00:00,,38348.0,38348.0,20240600,20240900,20240900
2024-04-15 19:00:00,,38413.0,38413.0,20240600,20240900,20240900
2024-04-15 20:00:00,,38335.0,38335.0,20240600,20240900,20240900
2024-04-15 22:00:00,,38388.0,38388.0,20240600,20240900,20240900
2024-04-15 23:00:00,37984.0,38345.0,38345.0,20240600,20240900,20240900
2024-04-16 00:00:00,,38388.0,38388.0,20240600,20240900,20240900
2024-04-16 01:00:00,,38354.0,38354.0,20240600,20240900,20240900
2024-04-16 02:00:00,,38262.0,38262.0,20240600,20240900,20240900
2024-04-16 05:00:00,,38426.0,38426.0,20240600,20240900,20240900
2024-04-16 06:00:00,,38321.0,38321.0,20240600,20240900,20240900
2024-04-16 07:00:00,,38313.0,38313.0,20240600,20240900,20240900
2024-04-16 08:00:00,,38350.0,38350.0,20240600,20240900,20240900
2024-04-16 09:00:00,,38318.0,38318.0,20240600,20240900,20240900
2024-04-16 10:00:00,,38506.0,38506.0,20240600,20240900,20240900
2024-04-16 11:00:00,,38609.0,38609.0,20240600,20240900,20240900
2024-04-16 12:00:00,,38610.0,38610.0,20240600,20240900,20240900
2024-04-16 13:00:00,,38513.0,38513.0,20240600,20240900,20240900
2024-04-16 14:00:00,,38424.0,38424.0,20240600,20240900,20240900
2024-04-16 15:00:00,,38525.0,38525.0,20240600,20240900,20240900
2024-04-16 16:00:00,,38524.0,38524.0,20240600,20240900,20240900
2024-04-16 17:00:00,,38454.0,38454.0,20240600,20240900,20240900
2024-04-16 18:00:00,,38521.0,38521.0,20240600,20240900,20240900
2024-04-16 19:00:00,,38530.0,38530.0,20240600,20240900,20240900
2024-04-16 20:00:00,,38449.0,38449.0,20240600,20240900,20240900
2024-04-16 23:00:00,38077.0,,,20240600,20240900,20240900
2024-04-17 00:00:00,,38525.0,38525.0,20240600,20240900,20240900
2024-04-17 01:00:00,,38495.0,38495.0,20240600,20240900,20240900
2024-04-17 05:00:00,,38369.0,38369.0,20240600,20240900,20240900
2024-04-17 06:00:00,,38426.0,38426.0,20240600,20240900,20240900
2024-04-17 08:00:00,,38556.0,38556.0,20240600,20240900,20240900
2024-04-17 09:00:00,,38550.0,38550.0,20240600,20240900,20240900
2024-04-17 10:00:00,,38621.0,38621.0,20240600,20240900,20240900
2024-04-17 11:00:00,,38520.0,38520.0,20240600,20240900,20240900
2024-04-17 12:00:00,,38465.0,38465.0,20240600,20240900,20240900
2024-04-17 13:00:00,,38612.0,38612.0,20240600,20240900,20240900
2024-04-17 14:00:00,,38344.0,38344.0,20240600,20240900,20240900
2024-04-17 15:00:00,,38333.0,38333.0,20240600,20240900,20240900
2024-04-17 16:00:00,,38290.0,38290.0,20240600,20240900,20240900
2024-04-17 17:00:00,,38420.0,38420.0,20240600,20240900,20240900
2024-04-17 18:00:00,,38487.0,38487.0,20240600,20240900,20240900
2024-04-17 19:00:00,,38352.0,38352.0,20240600,20240900,20240900
2024-04-17 20:00:00,,38369.0,38369.0,20240600,20240900,20240900
2024-04-17 23:00:00,37979.0,,,20240600,20240900,20240900
2024-04-18 01:00:00,,38383.0,38383.0,20240600,20240900,20240900
2024-04-18 04:00:00,,38423.0,38423.0,20240600,20240900,20240900
2024-04-18 05:00:00,,38381.0,38381.0,20240600,20240900,20240900
2024-04-18 06:00:00,,38475.0,38475.0,20240600,20240900,20240900
2024-04-18 07:00:00,,38457.0,38457.0,20240600,20240900,20240900
2024-04-18 08:00:00,,38442.0,38442.0,20240600,20240900,20240900
2024-04-18 09:00:00,,38362.0,38362.0,20240600,20240900,20240900
2024-04-18 12:00:00,,38470.0,38470.0,20240600,20240900,20240900
2024-04-18 13:00:00,,38500.0,38500.0,20240600,20240900,20240900
2024-04-18 14:00:00,,38626.0,38626.0,20240600,20240900,20240900
2024-04-18 15:00:00,,38598.0,38598.0,20240600,20240900,20240900
2024-04-18 16:00:00,,38437.0,38437.0,20240600,20240900,20240900
2024-04-18 17:00:00,,38369.0,38369.0,20240600,20240900,20240900
2024-04-18 18:00:00,,38351.0,38351.0,20240600,20240900,20240900
2024-04-18 19:00:00,,38365.0,38365.0,20240600,20240900,20240900
2024-04-18 20:00:00,,38400.0,38400.0,20240600,20240900,20240900
2024-04-18 23:00:00,38000.0,38320.0,38320.0,20240600,20240900,20240900
2024-04-19 00:00:00,,38209.0,38209.0,20240600,20240900,20240900
2024-04-19 01:00:00,,37982.0,37982.0,20240600,20240900,20240900
2024-04-19 02:00:00,,37965.0,37965.0,20240600,20240900,20240900
2024-04-19 03:00:00,,38080.0,38080.0,20240600,20240900,20240900
2024-04-19 04:00:00,,38110.0,38110.0,20240600,20240900,20240900
2024-04-19 05:00:00,,38101.0,38101.0,20240600,20240900,20240900
2024-04-19 06:00:00,,38234.0,38234.0,20240600,20240900,20240900
2024-04-19 07:00:00,,38233.0,38233.0,20240600,20240900,20240900
2024-04-19 08:00:00,,38278.0,38278.0,20240600,20240900,20240900
2024-04-19 09:00:00,,38278.0,38278.0,20240600,20240900,20240900
2024-04-19 10:00:00,,38280.0,38280.0,20240600,20240900,20240900
2024-04-19 11:00:00,,38318.0,38318.0,20240600,20240900,20240900
2024-04-19 12:00:00,,38318.0,38318.0,20240600,20240900,20240900
2024-04-19 13:00:00,,38562.0,38562.0,20240600,20240900,20240900
2024-04-19 14:00:00,,38521.0,38521.0,20240600,20240900,20240900
2024-04-19 15:00:00,,38527.0,38527.0,20240600,20240900,20240900
2024-04-19 16:00:00,,38535.0,38535.0,20240600,20240900,20240900
2024-04-19 17:00:00,,38700.0,38700.0,20240600,20240900,20240900
2024-04-19 18:00:00,,38521.0,38521.0,20240600,20240900,20240900
2024-04-19 19:00:00,,38598.0,38598.0,20240600,20240900,20240900
2024-04-19 20:00:00,,38581.0,38581.0,20240600,20240900,20240900
2024-04-19 23:00:00,38212.0,,,20240600,20240900,20240900
2024-04-21 22:00:00,,38677.0,38677.0,20240600,20240900,20240900
2024-04-21 23:00:00,,38680.0,38680.0,20240600,20240900,20240900
2024-04-22 00:00:00,,38672.0,38672.0,20240600,20240900,20240900
2024-04-22 04:00:00,,38665.0,38665.0,20240600,20240900,20240900
2024-04-22 05:00:00,,38653.0,38653.0,20240600,20240900,20240900
2024-04-22 06:00:00,,38730.0,38730.0,20240600,20240900,20240900
2024-04-22 10:00:00,,38777.0,38777.0,20240600,20240900,20240900
2024-04-22 12:00:00,,38779.0,38779.0,20240600,20240900,20240900
2024-04-22 13:00:00,,38669.0,38669.0,20240600,20240900,20240900
2024-04-22 14:00:00,,38670.0,38670.0,20240600,20240900,20240900
2024-04-22 15:00:00,,38581.0,38581.0,20240600,20240900,20240900
2024-04-22 16:00:00,,38779.0,38779.0,20240600,20240900,20240900
2024-04-22 17:00:00,,39020.0,39020.0,20240600,20240900,20240900
2024-04-22 18:00:00,,38977.0,38977.0,20240600,20240900,20240900
2024-04-22 19:00:00,,38920.0,38920.0,20240600,20240900,20240900
2024-04-22 20:00:00,,38854.0,38854.0,20240600,20240900,20240900
2024-04-22 23:00:00,38494.0,,,20240600,20240900,20240900
2024-04-23 00:00:00,,38884.0,38884.0,20240600,20240900,20240900
2024-04-23 05:00:00,,39104.0,39104.0,20240600,20240900,20240900
2024-04-23 07:00:00,,38900.0,38900.0,20240600,20240900,20240900
2024-04-23 11:00:00,,38884.0,38884.0,20240600,20240900,20240900
2024-04-23 12:00:00,,38960.0,38960.0,20240600,20240900,20240900
2024-04-23 13:00:00,,39045.0,39045.0,20240600,20240900,20240900
2024-04-23 14:00:00,,39107.0,39107.0,20240600,20240900,20240900
2024-04-23 15:00:00,,39030.0,39030.0,20240600,20240900,20240900
2024-04-23 16:00:00,,39094.0,39094.0,20240600,20240900,20240900
2024-04-23 17:00:00,,39127.0,39127.0,20240600,20240900,20240900
2024-04-23 19:00:00,,39078.0,39078.0,20240600,20240900,20240900
2024-04-23 23:00:00,38754.0,,,20240600,20240900,20240900
2024-04-24 00:00:00,,39124.0,39124.0,20240600,20240900,20240900
2024-04-24 03:00:00,,39145.0,39145.0,20240600,20240900,20240900
2024-04-24 05:00:00,,39058.0,39058.0,20240600,20240900,20240900
2024-04-24 07:00:00,,39124.0,39124.0,20240600,20240900,20240900
2024-04-24 08:00:00,,39105.0,39105.0,20240600,20240900,20240900
2024-04-24 12:00:00,,39109.0,39109.0,20240600,20240900,20240900
2024-04-24 13:00:00,,39050.0,39050.0,20240600,20240900,20240900
2024-04-24 14:00:00,,39021.0,39021.0,20240600,20240900,20240900
2024-04-24 15:00:00,,38946.0,38946.0,20240600,20240900,20240900
2024-04-24 16:00:00,,38927.0,38927.0,20240600,20240900,20240900
2024-04-24 17:00:00,,39060.0,39060.0,20240600,20240900,20240900
2024-04-24 18:00:00,,39111.0,39111.0,20240600,20240900,20240900
2024-04-24 19:00:00,,39001.0,39001.0,20240600,20240900,20240900
2024-04-24 20:00:00,,39001.0,39001.0,20240600,20240900,20240900
2024-04-24 22:00:00,,38952.0,38952.0,20240600,20240900,20240900
2024-04-24 23:00:00,38607.0,38990.0,38990.0,20240600,20240900,20240900
2024-04-25 00:00:00,,38990.0,38990.0,20240600,20240900,20240900
2024-04-25 01:00:00,,38984.0,38984.0,20240600,20240900,20240900
2024-04-25 03:00:00,,38973.0,38973.0,20240600,20240900,20240900
2024-04-25 04:00:00,,38980.0,38980.0,20240600,20240900,20240900
2024-04-25 05:00:00,,38661.0,38661.0,20240600,20240900,20240900
2024-04-25 10:00:00,,38808.0,38808.0,20240600,20240900,20240900
2024-04-25 11:00:00,,38799.0,38799.0,20240600,20240900,20240900
2024-04-25 12:00:00,,38589.0,38589.0,20240600,20240900,20240900
2024-04-25 13:00:00,,38370.0,38370.0,20240600,20240900,20240900
2024-04-25 14:00:00,,38329.0,38329.0,20240600,20240900,20240900
2024-04-25 15:00:00,,38377.0,38377.0,20240600,20240900,20240900
2024-04-25 16:00:00,,38550.0,38550.0,20240600,20240900,20240900
2024-04-25 17:00:00,,38698.0,38698.0,20240600,20240900,20240900
2024-04-25 18:00:00,,38560.0,38560.0,20240600,20240900,20240900
2024-04-25 19:00:00,,38648.0,38648.0,20240600,20240900,20240900
